initial search term,startDate,endDate,query,value,level
online therapy,2020-01,2020-08,free online therapy,100,1
online therapy,2020-01,2020-08,free therapy,95,1
online therapy,2020-01,2020-08,physical therapy,67,1
online therapy,2020-01,2020-08,online physical therapy,66,1
online therapy,2020-01,2020-08,online therapist,46,1
online therapy,2020-01,2020-08,therapist,45,1
online therapy,2020-01,2020-08,occupational therapy,42,1
online therapy,2020-01,2020-08,best online therapy,36,1
online therapy,2020-01,2020-08,online speech therapy,36,1
online therapy,2020-01,2020-08,online counseling,29,1
online therapy,2020-01,2020-08,online therapy jobs,26,1
online therapy,2020-01,2020-08,online therapy insurance,22,1
online therapy,2020-01,2020-08,physical therapy assistant,17,1
online therapy,2020-01,2020-08,online therapy games,17,1
online therapy,2020-01,2020-08,talkspace,16,1
online therapy,2020-01,2020-08,betterhelp,15,1
online therapy,2020-01,2020-08,online occupational therapy programs,14,1
online therapy,2020-01,2020-08,online physical therapy degree,12,1
online therapy,2020-01,2020-08,online couples therapy,12,1
online therapy,2020-01,2020-08,online physical therapy programs,11,1
online therapy,2020-01,2020-08,free online therapy chat,10,1
online therapy,2020-01,2020-08,couples therapy,10,1
online therapy,2020-01,2020-08,cognitive behavioral therapy,8,1
online therapy,2020-01,2020-08,online therapy app,7,1
online therapy,2020-01,2020-08,massage therapy school,5,1
