term,relative_search_volume
free online therapy,0.004163669895646904
free therapy,0.015712008099170605
physical therapy,0.3987549595827769
online physical therapy,0.002919437933499777
online therapist,0.008035402813558289
therapist,0.40055448823593237
occupational therapy,0.0788065761049352
best online therapy,0.0013804068196801122
online speech therapy,0.0014392601091698094
online counseling,0.01885690118783326
online therapy jobs,0.0011988666194517976
online therapy insurance,0.0007512311616851033
physical therapy assistant,0.009934131297874715
online therapy games,0.0006679276155691303
talkspace,0.008889515672206309
betterhelp,0.010503743846715258
online occupational therapy programs,0.0006422052443094188
online physical therapy degree,0.0005345009945052255
online couples therapy,0.0004784548633988759
online physical therapy programs,0.0005920550987402873
free online therapy chat,0.00037975212900524124
couples therapy,0.013622682356346429
cognitive behavioral therapy,0.01614470110820942
online therapy app,0.0003278373020045963
massage therapy school,0.004709283907774909
