initial_search_query,query,position,link,displayLink,site_probability
mental health resources,covid mental health resources,1,https://www.cdc.gov/coronavirus/2019-ncov/daily-life-coping/managing-stress-anxiety.html,www.cdc.gov,0.08413744731438766
mental health resources,covid mental health resources,2,https://www.apa.org/topics/covid-19/local-mental-health,www.apa.org,0.04807854132250724
mental health resources,covid mental health resources,3,https://www.massgeneral.org/psychiatry/guide-to-mental-health-resources,www.massgeneral.org,0.03605890599188043
mental health resources,covid mental health resources,4,https://www.nimh.nih.gov/health/education-awareness/shareable-resources-on-coping-with-covid-19.shtml,www.nimh.nih.gov,0.019231416529002895
mental health resources,covid mental health resources,5,https://mhanational.org/covid19,mhanational.org,0.016827489462877532
mental health resources,covid mental health resources,6,https://www.hhs.gov/coronavirus/mental-health-and-coping/index.html,www.hhs.gov,0.01201963533062681
mental health resources,covid mental health resources,7,https://dmh.lacounty.gov/covid-19-information/,dmh.lacounty.gov,0.009615708264501447
mental health resources,covid mental health resources,8,https://www.nami.org/Support-Education/NAMI-HelpLine/COVID-19-Information-and-Resources/COVID-19-Resource-and-Information-Guide,www.nami.org,0.007211781198376085
mental health resources,covid mental health resources,9,"https://www.michigan.gov/coronavirus/0,9753,7-406-98178_99557---,00.html",www.michigan.gov,0.004807854132250724
mental health resources,covid mental health resources,10,https://www.psychiatry.org/psychiatrists/covid-19-coronavirus,www.psychiatry.org,0.002403927066125362
mental health resources,free mental health resources,1,https://www.cnbc.com/2020/06/07/how-to-get-free-mental-health-resources-for-stress-anxiety.html,www.cnbc.com,0.06841790917130708
mental health resources,free mental health resources,2,https://greatist.com/grow/resources-when-you-can-not-afford-therapy,greatist.com,0.039095948097889764
mental health resources,free mental health resources,3,http://www.oprah.com/omagazine/free-online-resources-for-mental-illness,www.oprah.com,0.029321961073417318
mental health resources,free mental health resources,4,https://www.nimh.nih.gov/health/find-help/index.shtml,www.nimh.nih.gov,0.015638379239155904
mental health resources,free mental health resources,5,https://www.cdc.gov/mentalhealth/tools-resources/individuals/index.htm,www.cdc.gov,0.013683581834261417
