term,relative_search_volume
physical therapy,0.10593690075908874
physical therapy near me,0.006272684245202823
massage,0.3762282153791848
massage therapy near me,0.0020646062397225227
massage therapy,0.016220519952613123
massage near me,0.03483258406857811
therapist,0.10727827317343286
therapist near me,0.011881666921139017
therapy jobs near me,0.0015250017865464875
jobs near me,0.2686077441702499
occupational therapy near me,0.0008387607720174202
occupational therapy,0.020991821059615286
physical therapy jobs near me,0.0006654806753584496
speech therapy near me,0.0006816952508983933
speech therapy,0.014104038495998202
couples therapy,0.003582225350592834
couples therapy near me,0.0004624663170699184
counseling near me,0.007270619378645934
behavioral therapy,0.006478838576070949
pediatric therapy near me,0.00047453994384396924
behavioral therapy near me,0.00041578952775850694
family therapy near me,0.00034103797855367546
family therapy,0.008261562099953604
hormone therapy near me,0.0003361997950108834
therapy dog,0.004246728082853726
