initial_search_query,query,position,link,displayLink,site_probability
therapy near me,physical therapy,1,https://en.wikipedia.org/wiki/Physical_therapy,en.wikipedia.org,0.037077915265681057
therapy near me,physical therapy,2,https://www.apta.org/your-career/careers-in-physical-therapy/becoming-a-pt,www.apta.org,0.021187380151817748
therapy near me,physical therapy,3,https://www.webmd.com/pain-management/what-is-physical-therapy,www.webmd.com,0.01589053511386331
therapy near me,physical therapy,4,https://www.medicalnewstoday.com/articles/160645,www.medicalnewstoday.com,0.0084749520607271
therapy near me,physical therapy,5,https://www.selectphysicaltherapy.com/,www.selectphysicaltherapy.com,0.007415583053136212
therapy near me,physical therapy,6,https://www.bls.gov/ooh/healthcare/physical-therapists.htm,www.bls.gov,0.005296845037954437
therapy near me,physical therapy,7,https://www.pivotphysicaltherapy.com/,www.pivotphysicaltherapy.com,0.00423747603036355
therapy near me,physical therapy,8,https://soundcloud.com/physical-therapy,soundcloud.com,0.003178107022772662
therapy near me,physical therapy,9,https://academic.oup.com/ptj,academic.oup.com,0.002118738015181775
therapy near me,physical therapy,10,https://www.professionalpt.com/,www.professionalpt.com,0.0010593690075908874
therapy near me,physical therapy near me,1,https://www.apta.org/FindaPT/,www.apta.org,0.002195439485820988
therapy near me,physical therapy near me,2,https://www.athletico.com/,www.athletico.com,0.0012545368490405647
therapy near me,physical therapy near me,3,https://www.selectphysicaltherapy.com/,www.selectphysicaltherapy.com,0.0009409026367804234
therapy near me,physical therapy near me,4,https://thervo.com/physical-therapy,thervo.com,0.0005018147396162259
therapy near me,physical therapy near me,5,https://www.inova.org/locations/inova-physical-therapy-center-annandale,www.inova.org,0.00043908789716419765
therapy near me,physical therapy near me,6,https://ecrc-pt.com/,ecrc-pt.com,0.0003136342122601412
therapy near me,physical therapy near me,7,https://www.bartleypt.com/,www.bartleypt.com,0.0002509073698081129
therapy near me,physical therapy near me,8,https://actionphysicaltherapy.com/,actionphysicaltherapy.com,0.0001881805273560847
therapy near me,physical therapy near me,9,https://www.pivotphysicaltherapy.com/locations/,www.pivotphysicaltherapy.com,0.00012545368490405646
therapy near me,physical therapy near me,10,https://locations.atipt.com/duncanville-tx-s-cedar-ridge-dr,locations.atipt.com,6.272684245202823e-05
therapy near me,massage,1,https://www.massageenvy.com/,www.massageenvy.com,0.13167987538271467
therapy near me,massage,2,https://en.wikipedia.org/wiki/Massage,en.wikipedia.org,0.07524564307583698
therapy near me,massage,3,https://www.mayoclinic.org/healthy-lifestyle/stress-management/in-depth/massage/art-20045743,www.mayoclinic.org,0.05643423230687772
therapy near me,massage,4,https://www.webmd.com/balance/guide/massage-therapy-styles-and-health-benefits,www.webmd.com,0.030098257230334786
therapy near me,massage,5,https://www.healthline.com/health/types-of-massage,www.healthline.com,0.02633597507654294
therapy near me,massage,6,https://www.bls.gov/ooh/healthcare/massage-therapists.htm,www.bls.gov,0.018811410768959244
therapy near me,massage,7,https://www.groupon.com/articles/types-of-massage,www.groupon.com,0.015049128615167393
therapy near me,massage,8,https://www.amtamassage.org/,www.amtamassage.org,0.011286846461375545
therapy near me,massage,9,https://www.nccih.nih.gov/health/massage-therapy-what-you-need-to-know,www.nccih.nih.gov,0.0075245643075836964
therapy near me,massage,10,https://handandstone.com/,handandstone.com,0.0037622821537918482
therapy near me,massage therapy near me,1,https://www.maine.gov/pfr/professionallicensing/professions/massage/index.html,www.maine.gov,0.0007226121839028829
therapy near me,massage therapy near me,2,https://www.yelp.com/nearme/massage-therapists,www.yelp.com,0.00041292124794450457
therapy near me,massage therapy near me,3,https://thervo.com/massage,thervo.com,0.0003096909359583784
therapy near me,massage therapy near me,4,https://connectivehealthmassage.com/,connectivehealthmassage.com,0.0001651684991778018
therapy near me,massage therapy near me,5,https://www.groupon.com/local/massage,www.groupon.com,0.00014452243678057661
therapy near me,massage therapy near me,6,https://www.willschiro.com/massage-therapy,www.willschiro.com,0.00010323031198612614
therapy near me,massage therapy near me,7,https://www.spinesportshc.com/services/massage-therapy,www.spinesportshc.com,8.25842495889009e-05
therapy near me,massage therapy near me,8,https://physicaltherapybeyond.com/healing-hands/,physicaltherapybeyond.com,6.193818719167568e-05
therapy near me,massage therapy near me,9,http://www.serotamassagetherapy.com/,www.serotamassagetherapy.com,4.129212479445045e-05
therapy near me,massage therapy near me,10,https://www.amtamassage.org/find-massage-therapist/,www.amtamassage.org,2.0646062397225226e-05
therapy near me,massage therapy,1,https://www.nccih.nih.gov/health/massage-therapy-what-you-need-to-know,www.nccih.nih.gov,0.005677181983414593
therapy near me,massage therapy,2,https://www.medicinenet.com/massage_therapy/article.htm,www.medicinenet.com,0.0032441039905226248
therapy near me,massage therapy,3,https://www.webmd.com/balance/guide/massage-therapy-styles-and-health-benefits,www.webmd.com,0.0024330779928919684
therapy near me,massage therapy,4,https://massagetherapyfoundation.org/,massagetherapyfoundation.org,0.0012976415962090498
therapy near me,massage therapy,5,https://www.mayoclinic.org/tests-procedures/massage-therapy/about/pac-20384595,www.mayoclinic.org,0.0011354363966829188
therapy near me,massage therapy,6,https://www.amtamassage.org/,www.amtamassage.org,0.0008110259976306562
therapy near me,massage therapy,7,https://www.massagetherapy.com/,www.massagetherapy.com,0.0006488207981045249
therapy near me,massage therapy,8,https://massagewinnetka.com/,massagewinnetka.com,0.0004866155985783937
therapy near me,massage therapy,9,https://www.bls.gov/ooh/healthcare/massage-therapists.htm,www.bls.gov,0.00032441039905226245
therapy near me,massage therapy,10,https://www.spine-health.com/wellness/massage-therapy/massage-therapy-lower-back-pain,www.spine-health.com,0.00016220519952613122
therapy near me,massage near me,1,https://www.groupon.com/local/massage,www.groupon.com,0.012191404424002338
therapy near me,massage near me,2,https://elementsmassage.com/massage-places-near-me,elementsmassage.com,0.006966516813715622
therapy near me,massage near me,3,https://www.rubmaps.ch/,www.rubmaps.ch,0.005224887610286716
therapy near me,massage near me,4,https://www.kneadreliefmassage.com/,www.kneadreliefmassage.com,0.002786606725486249
