,Initial Search Term,Related Query,Relative Search Volume
0,therapy near me,physical therapy,0.10593690075908874
1,therapy near me,physical therapy near me,0.006272684245202823
2,therapy near me,massage,0.3762282153791848
3,therapy near me,massage therapy near me,0.0020646062397225227
4,therapy near me,massage therapy,0.016220519952613126
5,therapy near me,massage near me,0.034832584068578115
6,therapy near me,therapist,0.10727827317343286
7,therapy near me,therapist near me,0.011881666921139015
8,therapy near me,therapy jobs near me,0.0015250017865464875
9,therapy near me,jobs near me,0.2686077441702499
10,therapy near me,occupational therapy near me,0.0008387607720174202
11,therapy near me,occupational therapy,0.02099182105961529
12,therapy near me,physical therapy jobs near me,0.0006654806753584496
13,therapy near me,speech therapy near me,0.0006816952508983933
14,therapy near me,speech therapy,0.014104038495998204
15,therapy near me,couples therapy,0.0035822253505928344
16,therapy near me,couples therapy near me,0.00046246631706991836
17,therapy near me,counseling near me,0.007270619378645935
18,therapy near me,behavioral therapy,0.006478838576070949
19,therapy near me,pediatric therapy near me,0.00047453994384396924
20,therapy near me,behavioral therapy near me,0.0004157895277585069
21,therapy near me,family therapy near me,0.00034103797855367546
22,therapy near me,family therapy,0.008261562099953604
23,therapy near me,hormone therapy near me,0.0003361997950108834
24,therapy near me,therapy dog,0.004246728082853726
