,Initial Search Term,Related Query,Relative Search Volume
0,online therapy,free therapy,0.014206766957960316
1,online therapy,online free therapy,0.0037698265170166274
2,online therapy,online physical therapy,0.0025223942799978373
3,online therapy,physical therapy,0.3617204119861739
4,online therapy,online therapist,0.007155978164614891
5,online therapy,therapist,0.3663005137152857
6,online therapy,occupational therapy online,0.0016214113158355707
7,online therapy,occupational therapy,0.0716763479733254
8,online therapy,speech therapy,0.048158088247674466
9,online therapy,best online therapy,0.0012215564549506155
10,online therapy,speech therapy online,0.0013367031781561563
11,online therapy,therapy near me,0.07123584419575413
12,online therapy,online counseling,0.01750060664541995
13,online therapy,online therapy insurance,0.0006768905988887938
14,online therapy,talkspace,0.008052306865854472
15,online therapy,physical therapy assistant,0.0093766166969105
16,online therapy,online couples therapy,0.00048450727080175614
17,online therapy,online therapy reviews,0.0003979484133665253
18,online therapy,betterhelp,0.009635392954944508
19,online therapy,online physical therapy degree,0.0005123076045214887
20,online therapy,online group therapy,0.00044158088530388826
21,online therapy,online therapy services,0.00056590512220519
22,online therapy,online physical therapy programs,0.000516270039226611
23,online therapy,online occupational therapy programs,0.0005936174804929126
24,online therapy,online therapy app,0.00032020643531786706
