Week,CA,AL,NM,MO,ME,IN,WV
2019-01-06,81,40,47,25,65,21,36
2019-01-13,100,52,92,53,83,35,43
2019-01-20,79,26,23,24,66,20,0
2019-01-27,59,15,18,16,33,12,14
2019-02-03,56,6,28,13,16,12,0
2019-02-10,51,10,29,16,66,7,0
2019-02-17,45,13,17,12,52,22,7
2019-02-24,53,13,34,18,64,14,21
2019-03-03,64,28,41,20,17,9,14
2019-03-10,48,7,53,20,25,8,0
2019-03-17,41,21,18,21,25,14,29
2019-03-24,46,18,24,14,17,14,0
2019-03-31,64,17,47,19,82,12,37
2019-04-07,61,27,29,25,17,18,47
2019-04-14,49,12,41,15,90,13,15
2019-04-21,43,12,18,12,49,8,0
2019-04-28,55,10,59,23,57,8,8
2019-05-05,67,5,58,20,17,13,16
2019-05-12,46,9,30,21,33,16,16
2019-05-19,46,15,43,25,16,10,16
2019-05-26,52,4,30,20,16,9,24
2019-06-02,75,11,47,24,40,14,39
2019-06-09,69,16,29,30,24,20,8
2019-06-16,54,25,53,27,24,21,16
2019-06-23,51,9,47,17,33,18,32
2019-06-30,67,16,36,21,24,13,24
2019-07-07,72,20,45,14,71,22,16
2019-07-14,63,16,35,25,40,14,8
2019-07-21,46,11,18,20,16,9,8
2019-07-28,67,5,17,17,16,10,16
2019-08-04,84,14,29,26,31,12,16
2019-08-11,57,15,29,16,46,10,16
2019-08-18,45,13,44,12,31,7,0
2019-08-25,44,11,22,13,40,10,29
2019-09-01,65,5,27,13,22,12,34
2019-09-08,67,8,42,9,83,12,7
2019-09-15,47,23,32,16,15,14,7
2019-09-22,44,21,32,15,30,16,7
2019-09-29,69,9,53,20,46,16,7
2019-10-06,65,16,27,25,23,15,35
2019-10-13,48,11,27,14,63,13,0
2019-10-20,38,24,27,16,23,14,0
2019-10-27,52,8,5,8,30,8,14
2019-11-03,78,8,21,12,38,13,40
2019-11-10,60,14,21,12,23,13,26
2019-11-17,45,9,16,15,38,13,7
2019-11-24,32,10,16,11,49,13,21
2019-12-01,71,12,73,20,30,15,13
