Week,CA,AL,NM,MO,ME,IN,WV
2019-01-06,71,13,47,31,41,70,58
2019-01-13,74,15,17,32,25,54,71
2019-01-20,56,12,17,22,83,43,28
2019-01-27,58,16,23,17,25,49,35
2019-02-03,61,16,40,16,32,41,42
2019-02-10,55,7,23,16,41,47,42
2019-02-17,57,13,28,27,69,50,56
2019-02-24,46,8,17,22,40,30,28
2019-03-03,54,9,35,23,33,24,14
2019-03-10,49,7,18,23,33,32,38
2019-03-17,48,11,41,17,42,33,15
2019-03-24,53,7,35,16,50,34,53
2019-03-31,55,19,35,20,16,31,60
2019-04-07,55,12,29,21,25,30,47
2019-04-14,56,10,24,22,54,24,15
2019-04-21,52,19,36,16,33,35,76
2019-04-28,61,10,83,20,17,44,53
2019-05-05,53,14,52,28,42,32,47
2019-05-12,50,16,30,16,42,39,8
2019-05-19,50,11,36,14,16,40,40
2019-05-26,57,13,12,21,57,43,40
2019-06-02,56,21,58,26,16,38,47
2019-06-09,56,25,53,24,41,37,49
2019-06-16,58,29,18,27,65,38,16
2019-06-23,67,5,18,25,33,41,32
2019-06-30,50,20,30,17,0,51,24
2019-07-07,57,26,11,20,31,45,71
2019-07-14,61,10,29,29,16,34,56
2019-07-21,65,16,47,20,40,44,49
2019-07-28,56,13,17,20,40,42,65
2019-08-04,75,20,35,13,16,50,40
2019-08-11,66,22,46,21,31,56,70
2019-08-18,61,15,17,15,46,50,22
2019-08-25,55,13,43,21,16,42,36
2019-09-01,57,15,42,18,60,43,62
2019-09-08,59,15,42,22,38,35,41
2019-09-15,60,19,21,23,60,38,55
2019-09-22,65,14,11,11,59,33,35
2019-09-29,60,22,32,24,31,51,62
2019-10-06,61,10,27,21,46,32,35
2019-10-13,60,16,49,23,0,49,28
2019-10-20,61,15,16,23,23,42,47
2019-10-27,52,19,27,20,30,31,47
2019-11-03,60,14,42,19,38,36,27
2019-11-10,59,18,21,15,39,35,33
2019-11-17,58,12,32,21,31,43,27
2019-11-24,45,15,38,17,24,18,7
2019-12-01,65,15,26,22,23,44,19
