Week,CA,AL,NM,MO,ME,IN,WV
2019-01-06,4,2,0,0,0,4,7
2019-01-13,10,2,6,2,17,6,0
2019-01-20,9,2,6,3,16,3,7
2019-01-27,3,2,0,3,0,5,0
2019-02-03,4,3,0,2,0,3,7
2019-02-10,5,0,0,2,0,4,7
2019-02-17,5,0,0,0,17,0,0
2019-02-24,5,0,6,2,0,2,7
2019-03-03,3,0,0,2,16,0,0
2019-03-10,2,2,6,3,0,2,0
2019-03-17,4,0,6,2,0,5,7
2019-03-24,4,2,0,0,17,4,0
2019-03-31,3,0,6,0,17,6,0
2019-04-07,4,2,0,2,0,0,0
2019-04-14,3,2,0,2,18,7,8
2019-04-21,6,0,0,2,0,3,0
2019-04-28,4,5,0,3,16,6,0
2019-05-05,6,5,6,2,0,3,8
2019-05-12,2,0,6,5,0,2,0
2019-05-19,4,0,6,3,17,3,0
2019-05-26,8,2,0,2,0,4,0
2019-06-02,4,0,0,3,0,6,0
2019-06-09,2,4,0,2,0,2,8
2019-06-16,3,0,0,0,0,7,0
2019-06-23,5,4,0,0,0,2,0
2019-06-30,2,2,0,2,16,2,0
2019-07-07,3,3,0,5,0,2,0
2019-07-14,6,2,0,2,0,5,0
2019-07-21,3,0,0,3,0,5,0
2019-07-28,5,2,0,0,0,6,0
2019-08-04,4,4,0,4,0,6,0
2019-08-11,4,2,0,2,15,2,0
2019-08-18,4,2,0,2,0,6,7
2019-08-25,3,2,5,2,0,5,0
2019-09-01,3,0,0,2,0,4,7
2019-09-08,4,0,0,2,0,4,0
2019-09-15,4,3,0,3,0,6,0
2019-09-22,5,0,0,2,0,5,0
2019-09-29,4,0,5,2,0,5,7
2019-10-06,3,0,0,5,15,4,0
2019-10-13,3,2,16,4,0,4,0
2019-10-20,4,5,0,2,0,6,0
2019-10-27,4,5,0,2,15,6,7
2019-11-03,4,2,0,3,15,7,0
2019-11-10,6,0,0,0,0,6,0
2019-11-17,6,0,0,3,15,6,13
2019-11-24,6,0,16,2,0,10,0
2019-12-01,5,2,5,5,15,6,0
