Week,CA,AL,NM,MO,ME,IN,WV
2019-01-06,2,2,0,3,0,4,0
2019-01-13,5,2,6,2,0,6,7
2019-01-20,2,3,0,4,0,6,0
2019-01-27,1,2,0,0,0,6,0
2019-02-03,1,2,0,2,16,0,0
2019-02-10,3,0,0,2,0,6,0
2019-02-17,2,0,0,2,35,10,7
2019-02-24,2,0,0,0,32,3,0
2019-03-03,1,2,0,3,16,2,7
2019-03-10,2,0,0,2,0,2,0
2019-03-17,2,0,0,2,0,2,0
2019-03-24,2,2,6,2,0,2,0
2019-03-31,1,0,6,7,0,2,7
2019-04-07,2,2,0,2,0,2,0
2019-04-14,2,0,0,2,0,0,0
2019-04-21,1,2,0,2,0,3,8
2019-04-28,2,2,0,2,17,2,0
2019-05-05,1,0,0,2,0,2,0
2019-05-12,1,4,0,5,0,2,0
2019-05-19,2,2,0,0,0,2,8
2019-05-26,2,0,0,4,0,2,0
2019-06-02,3,0,0,3,16,2,0
2019-06-09,1,0,6,2,16,2,8
2019-06-16,2,2,0,4,0,2,0
2019-06-23,1,2,0,0,0,2,0
2019-06-30,1,0,0,2,0,2,8
2019-07-07,2,2,0,0,0,2,0
2019-07-14,2,0,0,2,0,0,0
2019-07-21,1,0,0,2,0,5,0
2019-07-28,2,2,6,0,0,2,0
2019-08-04,2,0,0,2,16,3,0
2019-08-11,1,0,0,2,0,2,8
2019-08-18,2,2,0,4,0,2,0
2019-08-25,2,2,0,0,0,2,0
2019-09-01,2,0,0,2,15,4,0
2019-09-08,1,2,0,0,0,2,0
2019-09-15,2,0,0,0,0,4,0
2019-09-22,1,0,0,3,0,0,0
2019-09-29,1,2,0,2,15,6,0
2019-10-06,1,3,0,2,0,2,0
2019-10-13,2,0,0,2,0,0,0
2019-10-20,2,3,0,2,0,5,7
2019-10-27,2,2,0,0,0,4,14
2019-11-03,2,0,0,4,15,2,7
2019-11-10,2,2,0,1,0,4,0
2019-11-17,2,2,0,1,0,7,0
2019-11-24,3,0,0,1,16,4,0
2019-12-01,4,3,0,3,0,2,0
