Week,CA,AL,NM,MO,ME,IN,WV
2020-01-05,7,12,4,16,44,17,5
2020-01-12,5,12,7,21,11,19,9
2020-01-19,5,15,10,17,11,23,5
2020-01-26,4,10,7,13,22,14,12
2020-02-02,5,11,7,11,22,14,10
2020-02-09,5,11,7,20,11,16,5
2020-02-16,5,10,7,18,11,19,7
2020-02-23,4,8,11,13,0,15,7
2020-03-01,7,8,3,16,41,16,7
2020-03-08,5,12,10,21,31,17,2
2020-03-15,13,43,10,39,49,38,21
2020-03-22,12,51,21,79,84,46,29
2020-03-29,15,100,27,100,80,73,38
2020-04-05,16,54,25,68,82,68,45
2020-04-12,17,38,34,60,52,49,23
2020-04-19,9,48,22,58,56,40,8
2020-04-26,13,46,13,42,53,50,20
2020-05-03,9,38,20,27,36,26,17
2020-05-10,10,26,14,23,37,29,18
2020-05-17,10,29,11,40,10,36,11
2020-05-24,8,28,10,33,29,38,14
2020-05-31,7,23,16,34,36,29,16
2020-06-07,8,22,12,25,28,27,12
2020-06-14,8,18,8,33,10,33,5
2020-06-21,6,20,8,26,10,19,7
2020-06-28,7,27,12,35,28,25,10
2020-07-05,8,20,22,28,19,29,15
2020-07-12,7,14,15,31,10,26,10
2020-07-19,5,18,15,33,0,24,3
2020-07-26,6,24,13,31,19,15,5
2020-08-02,7,20,14,36,39,30,23
2020-08-09,9,25,12,44,19,25,10
2020-08-16,6,18,16,32,19,19,8
2020-08-23,8,19,9,31,38,23,5
2020-08-30,6,19,14,32,19,19,10
2020-09-06,6,18,10,23,29,20,5
2020-09-13,6,15,8,23,9,19,14
2020-09-20,5,22,8,27,29,18,12
2020-09-27,6,22,13,45,0,22,7
2020-10-04,7,21,16,44,42,23,17
2020-10-11,7,35,18,25,59,19,21
2020-10-18,5,30,12,40,36,22,5
2020-10-25,6,19,9,33,60,29,10
2020-11-01,6,21,15,36,20,18,4
2020-11-08,8,16,11,31,23,21,5
2020-11-15,7,21,11,37,12,27,15
2020-11-22,5,16,13,29,23,16,11
2020-11-29,9,24,23,48,32,26,10
