,Queries,Relative Search Volume
0,yeast infection,0.6447452920508592
11,pill identifier,0.20666323910678436
6,abortion pill,0.07725880796506254
9,morning after pill,0.03387533559842632
3,viagra pill,0.0197222041327569
2,yeast infection pill,0.01357825776917406
1,over the counter yeast infection pill,0.0012880477110524997
5,sleeping pill over the counter,0.0008158189812179456
4,over the counter water pill,0.0007315210506687057
8,best over the counter diet pill,0.0006281460624134486
7,best over the counter weight loss pill,0.0005607345590284774
10,what is the best over the counter weight loss pill,0.0001325950125555992
